Date,VINATIORGA
2017-10-12,981.3
2017-10-13,978.4
2017-10-16,988.15
2017-10-17,1009.6
2017-10-18,971.5
2017-10-19,971.6
2017-10-23,965.6
2017-10-24,962.45
2017-10-25,948.75
2017-10-26,950.45
2017-10-27,968.85
2017-10-30,991.3
2017-10-31,1019.9
2017-11-01,1003.8
2017-11-02,997.1
2017-11-03,1000.05
2017-11-06,953.65
2017-11-07,914.1
2017-11-08,964.85
2017-11-09,965.45
2017-11-10,965.45
2017-11-13,955.0
2017-11-14,965.35
2017-11-15,965.05
2017-11-16,962.0
2017-11-17,965.3
2017-11-20,965.45
2017-11-21,977.05
2017-11-22,979.2
2017-11-23,973.6
2017-11-24,980.45
2017-11-27,975.4
2017-11-28,958.55
2017-11-29,979.6
2017-11-30,973.85
2017-12-01,978.25
2017-12-04,994.45
2017-12-05,987.1
2017-12-06,987.4
2017-12-07,994.0
2017-12-08,995.15
2017-12-11,1009.85
2017-12-12,1008.05
2017-12-13,1022.65
2017-12-14,1038.8
2017-12-15,1039.5
2017-12-18,1040.25
2017-12-19,1038.15
2017-12-20,1019.7
2017-12-21,1041.9
2017-12-22,1030.2
2017-12-26,1018.8
2017-12-27,999.85
2017-12-28,996.5
2017-12-29,997.9
