Date,GREENPOWER
2015-10-16,13.05
2015-10-19,12.75
2015-10-20,13.9
2015-10-21,13.4
2015-10-23,13.25
2015-10-26,13.0
2015-10-27,12.6
2015-10-28,13.0
2015-10-29,13.1
2015-10-30,13.1
2015-11-02,13.0
2015-11-03,12.95
2015-11-04,12.75
2015-11-05,12.7
2015-11-06,12.25
2015-11-09,12.15
2015-11-10,12.0
2015-11-11,12.45
2015-11-13,12.2
2015-11-16,12.3
2015-11-17,12.25
2015-11-18,12.6
2015-11-19,12.55
2015-11-20,12.65
2015-11-23,12.9
2015-11-24,13.8
2015-11-26,14.1
2015-11-27,14.85
2015-11-30,14.7
2015-12-01,15.05
2015-12-02,14.85
2015-12-03,14.75
2015-12-04,14.65
2015-12-07,14.65
2015-12-08,14.0
2015-12-09,13.15
2015-12-10,13.6
2015-12-11,13.95
2015-12-14,14.65
2015-12-15,14.75
2015-12-16,15.2
2015-12-17,16.4
2015-12-18,15.8
2015-12-21,16.15
2015-12-22,16.75
2015-12-23,16.7
2015-12-24,16.3
2015-12-28,16.25
2015-12-29,16.95
2015-12-30,17.4
2015-12-31,16.9
2016-01-01,17.95
2016-01-04,17.6
2016-01-05,17.5
2016-01-06,16.85
2016-01-07,16.0
2016-01-08,16.5
2016-01-11,16.25
2016-01-12,15.4
2016-01-13,14.4
2016-01-14,14.7
2016-01-15,14.0
2016-01-18,13.2
2016-01-19,13.5
2016-01-20,13.95
2016-01-21,13.65
2016-01-22,14.1
2016-01-25,13.95
2016-01-27,13.9
2016-01-28,13.8
2016-01-29,14.45
2016-02-01,14.15
2016-02-02,13.95
2016-02-03,13.55
2016-02-04,13.3
2016-02-05,12.85
2016-02-08,12.65
2016-02-09,12.15
2016-02-10,12.25
2016-02-11,10.8
2016-02-12,11.1
2016-02-15,11.5
2016-02-16,11.15
2016-02-17,11.2
2016-02-18,11.25
2016-02-19,11.5
2016-02-22,12.15
2016-02-23,11.6
2016-02-24,11.15
2016-02-25,11.0
2016-02-26,10.9
2016-02-29,10.55
2016-03-01,11.0
2016-03-02,11.35
2016-03-03,12.1
2016-03-04,12.35
2016-03-08,12.5
2016-03-09,12.05
2016-03-10,11.85
2016-03-11,11.55
2016-03-14,11.45
2016-03-15,11.2
2016-03-16,11.1
2016-03-17,11.05
2016-03-18,11.05
2016-03-21,11.15
2016-03-22,11.2
2016-03-23,12.25
2016-03-28,11.95
2016-03-29,12.1
2016-03-30,11.85
2016-03-31,11.75
2016-04-01,11.8
2016-04-04,11.95
2016-04-05,11.35
2016-04-06,11.5
2016-04-07,11.0
2016-04-08,11.25
2016-04-11,11.4
2016-04-12,11.3
2016-04-13,11.6
2016-04-18,11.65
2016-04-20,12.35
2016-04-21,12.1
2016-04-22,11.95
2016-04-25,11.75
2016-04-26,11.95
2016-04-27,11.95
2016-04-28,11.85
2016-04-29,11.8
2016-05-02,11.7
2016-05-03,11.6
2016-05-04,11.2
2016-05-05,11.15
2016-05-06,11.05
2016-05-09,11.1
2016-05-10,11.2
2016-05-11,10.95
2016-05-12,11.05
2016-05-13,10.9
2016-05-16,11.1
2016-05-17,10.95
2016-05-18,11.3
2016-05-19,11.4
2016-05-20,11.15
2016-05-23,11.05
2016-05-24,10.8
2016-05-25,10.95
2016-05-26,11.0
2016-05-27,11.2
2016-05-30,11.05
2016-05-31,10.85
2016-06-01,10.95
2016-06-02,10.95
2016-06-03,10.85
2016-06-06,10.8
2016-06-07,10.85
2016-06-08,11.2
2016-06-09,11.2
2016-06-10,11.1
2016-06-13,11.05
2016-06-14,11.2
2016-06-15,11.15
2016-06-16,11.0
2016-06-17,11.3
2016-06-20,11.55
2016-06-21,11.3
2016-06-22,11.05
2016-06-23,10.95
2016-06-24,10.7
2016-06-27,10.8
2016-06-28,11.0
2016-06-29,11.0
2016-06-30,11.05
2016-07-01,11.0
2016-07-04,10.95
2016-07-05,10.95
2016-07-07,11.1
2016-07-08,11.2
2016-07-11,11.05
2016-07-12,10.95
2016-07-13,10.9
2016-07-14,10.9
2016-07-15,10.9
2016-07-18,10.7
2016-07-19,10.65
2016-07-20,10.55
2016-07-21,10.3
2016-07-22,10.65
2016-07-25,10.45
2016-07-26,10.45
2016-07-27,10.4
2016-07-28,10.35
2016-07-29,10.4
2016-08-01,10.35
2016-08-02,10.2
2016-08-03,10.15
2016-08-04,10.05
2016-08-05,10.15
2016-08-08,10.2
2016-08-09,10.4
2016-08-10,10.3
2016-08-11,10.3
2016-08-12,10.25
2016-08-16,10.05
2016-08-17,10.2
2016-08-18,10.2
2016-08-19,10.0
2016-08-22,10.05
2016-08-23,10.0
2016-08-24,10.2
2016-08-25,10.05
2016-08-26,10.0
2016-08-29,10.0
2016-08-30,10.05
2016-08-31,10.0
2016-09-01,9.95
2016-09-02,9.85
2016-09-06,9.9
2016-09-07,10.1
2016-09-08,9.9
2016-09-09,9.85
2016-09-12,9.75
2016-09-14,9.75
2016-09-15,9.4
2016-09-16,9.45
2016-09-19,9.35
2016-09-20,9.4
2016-09-21,9.55
2016-09-22,9.65
2016-09-23,9.9
2016-09-26,9.95
2016-09-27,9.9
2016-09-28,9.9
2016-09-29,9.15
2016-09-30,9.35
2016-10-03,9.65
2016-10-04,9.65
2016-10-05,9.65
2016-10-06,9.6
2016-10-07,9.65
2016-10-10,9.7
2016-10-13,9.55
2016-10-14,9.65
2016-10-17,9.7
2016-10-18,9.8
2016-10-19,10.2
2016-10-20,10.25
2016-10-21,10.2
2016-10-24,10.3
2016-10-25,10.5
2016-10-26,10.5
2016-10-27,10.3
2016-10-28,10.4
2016-10-30,10.45
2016-11-01,10.55
2016-11-02,10.3
2016-11-03,9.95
2016-11-04,9.7
2016-11-07,9.75
2016-11-08,9.85
2016-11-09,9.3
2016-11-10,9.6
2016-11-11,9.25
2016-11-15,8.9
2016-11-16,8.9
2016-11-17,8.7
2016-11-18,8.65
2016-11-21,8.3
2016-11-22,8.25
2016-11-23,8.6
2016-11-24,9.9
2016-11-25,9.45
2016-11-28,9.5
2016-11-29,9.5
2016-11-30,9.9
2016-12-01,9.75
2016-12-02,9.35
2016-12-05,9.9
2016-12-06,10.3
2016-12-07,10.05
2016-12-08,10.15
2016-12-09,10.3
2016-12-12,10.2
2016-12-13,10.15
2016-12-14,9.95
2016-12-15,9.85
2016-12-16,9.85
2016-12-19,9.65
2016-12-20,9.75
2016-12-21,9.65
2016-12-22,9.45
2016-12-23,9.5
2016-12-26,9.25
2016-12-27,9.2
2016-12-28,9.35
2016-12-29,9.5
2016-12-30,9.4
2017-01-02,9.6
2017-01-03,9.65
2017-01-04,9.85
2017-01-05,10.05
2017-01-06,9.9
2017-01-09,10.1
2017-01-10,9.9
2017-01-11,10.0
2017-01-12,9.95
2017-01-13,9.9
2017-01-16,9.9
2017-01-17,10.0
2017-01-18,10.05
2017-01-19,11.2
2017-01-20,11.2
2017-01-23,10.95
2017-01-24,11.05
2017-01-25,11.05
2017-01-27,10.9
2017-01-30,10.9
2017-01-31,10.65
2017-02-01,10.9
2017-02-02,11.2
2017-02-03,11.25
2017-02-06,11.45
2017-02-07,11.2
2017-02-08,11.2
2017-02-09,11.3
2017-02-10,10.8
2017-02-13,10.7
2017-02-14,10.7
2017-02-15,10.35
2017-02-16,10.35
2017-02-17,10.45
2017-02-20,10.6
2017-02-21,10.65
2017-02-22,10.9
2017-02-23,10.85
2017-02-27,10.6
2017-02-28,10.55
2017-03-01,10.5
2017-03-02,10.35
2017-03-03,10.2
2017-03-06,10.1
2017-03-07,10.15
2017-03-08,10.2
2017-03-09,10.15
2017-03-10,10.05
2017-03-14,10.0
2017-03-15,9.9
2017-03-16,10.25
2017-03-17,10.0
2017-03-20,10.1
2017-03-21,10.0
2017-03-22,9.85
2017-03-23,10.05
2017-03-24,9.85
2017-03-27,9.8
2017-03-28,9.75
2017-03-29,9.75
2017-03-30,9.7
2017-03-31,9.7
2017-04-03,9.8
2017-04-05,9.95
2017-04-06,9.95
2017-04-07,10.0
2017-04-10,9.9
2017-04-11,9.9
2017-04-12,9.8
2017-04-13,10.15
2017-04-17,10.35
2017-04-18,10.3
2017-04-19,10.15
2017-04-20,10.2
2017-04-21,10.15
2017-04-24,10.05
2017-04-25,10.1
2017-04-26,10.0
2017-04-27,9.95
2017-04-28,9.95
2017-05-02,9.9
2017-05-03,9.9
2017-05-04,9.9
2017-05-05,9.8
2017-05-08,9.85
2017-05-09,9.95
2017-05-10,9.9
2017-05-11,9.8
2017-05-12,9.95
2017-05-15,9.9
2017-05-16,9.95
2017-05-17,9.85
2017-05-18,9.65
2017-05-19,9.45
2017-05-22,9.15
2017-05-23,8.6
2017-05-24,8.55
2017-05-25,8.8
2017-05-26,8.8
2017-05-29,8.45
2017-05-30,8.45
2017-05-31,8.6
2017-06-01,8.75
2017-06-02,8.7
2017-06-05,8.55
2017-06-06,8.55
2017-06-07,8.65
2017-06-08,8.4
2017-06-09,8.4
2017-06-12,8.4
2017-06-13,8.35
2017-06-14,8.35
2017-06-15,8.25
2017-06-16,8.25
2017-06-19,8.2
2017-06-20,8.05
2017-06-21,8.15
2017-06-22,8.1
2017-06-23,8.0
2017-06-27,8.0
2017-06-28,8.0
2017-06-29,8.0
2017-06-30,8.35
2017-07-03,8.85
2017-07-04,8.7
2017-07-05,8.65
2017-07-06,8.6
2017-07-07,9.1
2017-07-10,9.15
2017-07-11,8.9
2017-07-12,8.8
2017-07-13,8.75
2017-07-14,8.65
2017-07-17,8.55
2017-07-18,8.6
2017-07-19,8.5
2017-07-20,8.4
2017-07-21,8.6
2017-07-24,8.95
2017-07-25,9.05
2017-07-26,9.1
2017-07-27,8.8
2017-07-28,8.8
2017-07-31,8.9
2017-08-01,8.9
2017-08-02,8.85
2017-08-03,8.95
2017-08-04,8.9
2017-08-07,9.05
2017-08-08,8.9
2017-08-09,8.7
2017-08-10,8.5
2017-08-11,8.35
2017-08-14,8.7
2017-08-16,8.5
2017-08-17,8.65
2017-08-18,8.45
2017-08-21,8.6
2017-08-22,8.45
2017-08-23,8.45
2017-08-24,8.4
2017-08-28,8.3
2017-08-29,8.25
2017-08-30,8.75
2017-08-31,8.6
2017-09-01,8.75
2017-09-04,8.8
2017-09-05,8.85
2017-09-06,8.75
2017-09-07,8.8
2017-09-08,9.05
2017-09-11,8.8
2017-09-12,8.75
2017-09-13,8.65
2017-09-14,8.65
2017-09-15,8.65
2017-09-18,8.55
2017-09-19,8.6
2017-09-20,8.55
2017-09-21,8.55
2017-09-22,8.6
2017-09-25,8.5
2017-09-26,8.85
2017-09-27,8.6
2017-09-28,8.75
2017-09-29,8.8
2017-10-03,8.7
2017-10-04,8.7
2017-10-05,8.6
2017-10-06,8.6
2017-10-09,8.7
2017-10-10,8.55
2017-10-11,8.4
2017-10-12,8.35
2017-10-13,8.3
2017-10-16,8.35
2017-10-17,8.3
2017-10-18,8.25
2017-10-19,8.95
2017-10-23,9.0
2017-10-24,9.2
2017-10-25,9.2
2017-10-26,9.1
2017-10-27,9.3
2017-10-30,9.5
2017-10-31,9.55
2017-11-01,9.55
2017-11-02,9.3
2017-11-03,10.85
2017-11-06,10.7
