Date,AARVEEDEN
2016-10-21,102.3
2016-10-24,97.05
2016-10-25,93.35
2016-10-26,90.25
2016-10-27,89.75
2016-10-28,91.4
2016-10-30,99.6
2016-11-01,103.0
2016-11-02,97.85
2016-11-03,96.1
2016-11-04,90.9
2016-11-07,91.05
2016-11-08,89.65
2016-11-09,85.05
2016-11-10,93.6
2016-11-11,88.95
2016-11-15,80.35
2016-11-16,80.6
2016-11-17,81.0
2016-11-18,77.7
2016-11-21,77.0
2016-11-22,77.15
2016-11-23,81.0
2016-11-24,79.6
2016-11-25,83.4
2016-11-28,83.4
2016-11-29,84.55
2016-11-30,84.05
2016-12-01,83.8
2016-12-02,82.35
2016-12-05,81.9
2016-12-06,82.45
2016-12-07,82.45
2016-12-08,85.0
2016-12-09,85.3
2016-12-12,82.4
2016-12-13,82.3
2016-12-14,81.25
2016-12-15,80.1
2016-12-16,79.5
2016-12-19,79.25
2016-12-20,77.7
2016-12-21,87.6
2016-12-22,81.9
2016-12-23,79.5
2016-12-26,76.5
2016-12-27,78.8
2016-12-28,78.75
2016-12-29,78.85
2016-12-30,80.2
2017-01-02,80.7
2017-01-03,83.15
2017-01-04,85.5
2017-01-05,84.4
2017-01-06,84.55
2017-01-09,88.5
2017-01-10,86.75
2017-01-11,86.95
2017-01-12,84.8
2017-01-13,85.05
2017-01-16,92.1
2017-01-17,93.7
2017-01-18,91.15
2017-01-19,89.2
2017-01-20,87.85
2017-01-23,91.95
2017-01-24,91.3
2017-01-25,90.2
2017-01-27,89.85
2017-01-30,86.7
2017-01-31,85.9
2017-02-01,86.25
2017-02-02,87.25
2017-02-03,91.55
2017-02-06,93.25
2017-02-07,91.35
2017-02-08,89.65
2017-02-09,87.5
2017-02-10,86.7
2017-02-13,76.6
2017-02-14,75.15
2017-02-15,73.25
2017-02-16,74.0
2017-02-17,73.45
2017-02-20,74.1
2017-02-21,75.25
2017-02-22,74.9
2017-02-23,73.8
2017-02-27,73.5
2017-02-28,73.5
2017-03-01,74.7
2017-03-02,74.35
2017-03-03,74.4
2017-03-06,74.1
2017-03-07,73.65
2017-03-08,74.05
2017-03-09,74.35
2017-03-10,73.2
2017-03-14,73.7
2017-03-15,74.7
2017-03-16,74.4
2017-03-17,74.65
2017-03-20,74.2
2017-03-21,73.0
2017-03-22,72.7
2017-03-23,73.9
2017-03-24,80.75
2017-03-27,77.8
2017-03-28,77.8
2017-03-29,75.65
2017-03-30,75.85
2017-03-31,74.35
2017-04-03,73.75
2017-04-05,73.85
2017-04-06,72.45
2017-04-07,72.3
2017-04-10,71.3
2017-04-11,72.45
2017-04-12,71.25
2017-04-13,73.9
2017-04-17,72.55
2017-04-18,70.95
2017-04-19,70.75
2017-04-20,71.6
2017-04-21,72.3
2017-04-24,75.3
2017-04-25,73.2
