Date,BAJFINANCE
2016-07-15,8700.05
2016-07-18,8800.7
2016-07-19,8643.05
2016-07-20,8640.1
2016-07-21,8707.85
2016-07-22,8837.8
2016-07-25,8983.65
2016-07-26,9848.35
2016-07-27,9793.45
2016-07-28,10316.8
2016-07-29,10372.65
2016-08-01,11226.25
2016-08-02,10944.1
2016-08-03,10005.6
2016-08-04,9969.7
2016-08-05,10094.7
2016-08-08,10034.35
2016-08-09,10179.8
2016-08-10,9998.3
2016-08-11,10007.3
2016-08-12,10154.4
2016-08-16,10203.6
2016-08-17,10208.8
2016-08-18,10134.55
2016-08-19,10183.1
2016-08-22,10166.15
2016-08-23,10040.65
2016-08-24,10053.6
2016-08-25,10289.65
2016-08-26,10480.9
2016-08-29,10743.6
2016-08-30,10777.4
2016-08-31,11011.1
2016-09-01,11160.85
2016-09-02,11139.8
2016-09-06,11265.85
2016-09-07,11393.3
2016-09-08,1162.8
2016-09-09,1153.55
2016-09-12,1094.4
2016-09-14,1101.05
2016-09-15,1099.0
2016-09-16,1087.85
2016-09-19,1075.9
2016-09-20,1075.05
2016-09-21,1070.25
2016-09-22,1127.95
2016-09-23,1126.5
2016-09-26,1122.8
2016-09-27,1098.6
2016-09-28,1106.1
2016-09-29,1037.15
2016-09-30,1055.9
2016-10-03,1086.7
2016-10-04,1083.75
2016-10-05,1074.25
2016-10-06,1077.25
2016-10-07,1082.5
2016-10-10,1073.95
2016-10-13,1053.95
2016-10-14,1061.3
2016-10-17,1078.85
2016-10-18,1117.35
2016-10-19,1118.85
2016-10-20,1121.4
2016-10-21,1134.3
2016-10-24,1128.95
2016-10-25,1141.7
2016-10-26,1148.4
2016-10-27,1104.8
2016-10-28,1072.55
2016-10-30,1080.4
2016-11-01,1060.8
2016-11-02,1019.85
2016-11-03,1030.85
2016-11-04,993.15
2016-11-07,990.4
2016-11-08,983.7
2016-11-09,929.15
2016-11-10,929.2
2016-11-11,858.1
2016-11-15,815.05
2016-11-16,899.8
2016-11-17,871.15
2016-11-18,878.4
2016-11-21,832.2
2016-11-22,858.0
2016-11-23,850.25
2016-11-24,820.7
2016-11-25,877.9
2016-11-28,879.25
2016-11-29,907.25
2016-11-30,919.8
2016-12-01,914.2
2016-12-02,886.5
2016-12-05,902.25
2016-12-06,898.05
2016-12-07,891.05
2016-12-08,911.55
2016-12-09,896.35
2016-12-12,843.6
2016-12-13,836.75
2016-12-14,848.75
2016-12-15,853.8
2016-12-16,850.8
2016-12-19,822.9
2016-12-20,805.8
2016-12-21,788.6
2016-12-22,765.4
2016-12-23,808.95
2016-12-26,810.0
2016-12-27,809.75
2016-12-28,820.2
2016-12-29,833.35
2016-12-30,842.2
2017-01-02,870.05
2017-01-03,884.0
2017-01-04,871.9
2017-01-05,899.75
2017-01-06,878.45
2017-01-09,878.25
2017-01-10,899.75
2017-01-11,896.15
2017-01-12,891.2
2017-01-13,900.05
2017-01-16,917.7
2017-01-17,914.35
2017-01-18,930.35
2017-01-19,926.3
2017-01-20,907.7
2017-01-23,929.65
2017-01-24,929.75
2017-01-25,999.85
2017-01-27,995.85
2017-01-30,1054.8
2017-01-31,1036.9
2017-02-01,1066.15
2017-02-02,1054.15
2017-02-03,1047.35
2017-02-06,1073.7
2017-02-07,1060.95
2017-02-08,1049.45
2017-02-09,1040.85
2017-02-10,1055.45
2017-02-13,1058.95
2017-02-14,1059.5
2017-02-15,1040.4
