Date,BAJAJHIND
2016-03-02,15.5
2016-03-03,15.2
2016-03-04,16.3
2016-03-08,16.85
2016-03-09,16.9
2016-03-10,16.4
2016-03-11,16.2
2016-03-14,16.7
2016-03-15,18.7
2016-03-16,18.75
2016-03-17,18.15
2016-03-18,18.9
2016-03-21,18.75
2016-03-22,19.05
2016-03-23,18.95
2016-03-28,18.8
2016-03-29,18.8
2016-03-30,20.55
2016-03-31,20.0
2016-04-01,20.6
2016-04-04,20.55
2016-04-05,20.2
2016-04-06,21.25
2016-04-07,20.4
2016-04-08,20.0
2016-04-11,19.6
2016-04-12,19.05
2016-04-13,18.95
2016-04-18,20.15
2016-04-20,19.8
2016-04-21,19.55
2016-04-22,19.7
2016-04-25,19.6
2016-04-26,19.9
2016-04-27,19.7
2016-04-28,19.3
2016-04-29,19.85
2016-05-02,20.05
2016-05-03,19.75
2016-05-04,19.5
2016-05-05,19.75
2016-05-06,19.7
2016-05-09,19.9
2016-05-10,20.1
2016-05-11,20.75
2016-05-12,21.15
2016-05-13,20.95
2016-05-16,20.95
2016-05-17,20.25
2016-05-18,20.35
2016-05-19,19.55
2016-05-20,18.7
2016-05-23,18.6
2016-05-24,18.15
2016-05-25,18.5
2016-05-26,18.85
2016-05-27,18.65
2016-05-30,19.25
2016-05-31,19.25
2016-06-01,19.25
2016-06-02,19.2
2016-06-03,19.65
2016-06-06,20.1
2016-06-07,20.0
2016-06-08,21.0
2016-06-09,20.75
2016-06-10,21.85
2016-06-13,22.95
2016-06-14,22.7
2016-06-15,22.8
2016-06-16,21.7
2016-06-17,20.75
2016-06-20,20.8
2016-06-21,20.65
2016-06-22,20.1
2016-06-23,19.8
2016-06-24,19.35
2016-06-27,21.45
2016-06-28,21.25
2016-06-29,21.45
2016-06-30,21.2
2016-07-01,21.3
2016-07-04,21.7
2016-07-05,21.2
2016-07-07,21.6
2016-07-08,21.2
2016-07-11,21.15
2016-07-12,21.1
2016-07-13,20.7
2016-07-14,20.85
2016-07-15,20.25
2016-07-18,19.8
2016-07-19,19.75
2016-07-20,19.8
2016-07-21,19.65
2016-07-22,19.65
2016-07-25,19.65
2016-07-26,19.4
2016-07-27,19.8
2016-07-28,19.65
2016-07-29,20.1
2016-08-01,20.05
2016-08-02,19.7
2016-08-03,19.7
2016-08-04,19.5
2016-08-05,19.5
2016-08-08,19.25
2016-08-09,18.6
2016-08-10,18.3
